Order_ID,Category,Sub_Category
CA-2015-134726,"Technology,Technology","Accessories,Phones"
CA-2015-135993,"Technology,Technology","Phones,Accessories"
CA-2015-139192,"Technology,Technology","Phones,Accessories"
CA-2015-143840,"Technology,Technology","Phones,Phones"
CA-2015-163293,"Technology,Technology","Accessories,Accessories"
CA-2015-166051,"Technology,Technology","Phones,Phones"
CA-2015-166471,"Technology,Technology","Phones,Phones"
CA-2016-108532,"Technology,Technology","Phones,Accessories"
CA-2016-123155,"Technology,Technology","Accessories,Phones"
CA-2016-145184,"Technology,Technology","Phones,Accessories"
CA-2016-146675,"Technology,Technology","Copiers,Accessories"
CA-2016-156146,"Technology,Technology","Phones,Phones"
CA-2016-157084,"Technology,Technology","Phones,Accessories"
CA-2016-158491,"Technology,Technology","Accessories,Accessories"
CA-2017-108210,"Technology,Technology","Phones,Accessories"
CA-2017-108882,"Technology,Technology","Accessories,Phones"
CA-2017-121748,"Technology,Technology","Accessories,Accessories"
CA-2017-148208,"Technology,Technology","Phones,Accessories"
CA-2017-157217,"Technology,Technology","Phones,Accessories"
CA-2017-169194,"Technology,Technology","Accessories,Phones"
CA-2017-169663,"Technology,Technology","Accessories,Machines"
CA-2018-121027,"Technology,Technology","Accessories,Accessories"
CA-2018-122364,"Technology,Technology","Phones,Machines"
CA-2018-122504,"Technology,Technology","Accessories,Phones"
CA-2018-123036,"Technology,Technology","Accessories,Phones"
CA-2018-132262,"Technology,Technology","Accessories,Accessories"
CA-2018-147333,"Technology,Technology","Accessories,Accessories"
CA-2018-159667,"Technology,Technology","Accessories,Phones"
CA-2018-160325,"Technology,Technology","Phones,Phones"
CA-2018-161410,"Technology,Technology","Phones,Phones"
CA-2018-163902,"Technology,Technology","Phones,Accessories"
CA-2018-165323,"Technology,Technology","Machines,Accessories"
US-2015-102071,"Technology,Technology","Accessories,Accessories"
US-2015-106992,"Technology,Technology","Machines,Machines"
US-2015-135972,"Technology,Technology","Phones,Copiers"
US-2017-112396,"Technology,Technology","Accessories,Accessories"
US-2017-127425,"Technology,Technology","Phones,Accessories"
US-2017-139486,"Technology,Technology","Phones,Accessories"
US-2017-151827,"Technology,Technology","Phones,Accessories"
CA-2015-103807,"Technology,Office Supplies","Accessories,Paper"
CA-2015-107594,"Technology,Office Supplies","Phones,Art"
CA-2015-110065,"Technology,Office Supplies","Phones,Art"
CA-2015-115889,"Technology,Office Supplies","Phones,Storage"
CA-2015-115980,"Technology,Office Supplies","Accessories,Fasteners"
CA-2015-123225,"Technology,Office Supplies","Phones,Paper"
CA-2015-125556,"Technology,Office Supplies","Phones,Binders"
CA-2015-128146,"Technology,Office Supplies","Phones,Art"
